Technology	GWP_construction [ktCO2-eq/y]
CCGT	1.348153
PV	1348.786733
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	135.857714
IND_COGEN_GAS	90.376800
IND_BOILER_GAS	1.786923
IND_BOILER_WASTE	1.969272
IND_HEATER_ELEC	0.032014
DHN_HP_ELEC	6.900451
DHN_GEOTHERMAL	33.804594
DEC_HP_ELEC	67.631595
DEC_THERMAL_HP_GAS	56.387278
DEC_BOILER_GAS	4.184615
THERMAL_SOLAR	30.062576
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	50.000000
NG	16330.937620
WASTE	1671.300000
