Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT	0.183372	0.183372	0.183372	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.183372	0.183372	0.183372
PV	0.810012	1.458022	1.944029	2.430036	2.430036	2.592039	2.592039	2.592039	2.106031	1.458022	0.810012	0.648010
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.290810	1.118702	1.333837	1.893187	2.667673	3.313078	3.313078	3.054916	2.366484	1.591999	1.505945	1.462918
IND_COGEN_GAS	2.206465	2.206465	2.206465	2.206465	0.320139	0.000000	0.000000	0.000000	0.482355	2.206465	2.206465	2.206465
IND_BOILER_GAS	0.583404	1.741799	0.901028	0.583404	2.469730	2.469730	2.469730	2.469730	2.307514	0.583404	0.583404	0.583404
IND_BOILER_WASTE	1.158395	0.000000	0.840771	1.158395	1.158395	1.158395	1.158395	1.158395	1.158395	1.158395	1.158395	1.158395
IND_HEATER_ELEC	0.000000	0.000000	0.000000	0.000000	0.000000	0.320139	0.320139	0.320139	0.000000	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.909639	0.984966	0.898646	0.519149	0.465581	0.492763	0.492763	0.492763	0.510354	0.670202	0.778987	0.986907
DHN_GEOTHERMAL	1.253880	1.253880	1.253880	0.498621	0.027181	0.000000	0.000000	0.000000	0.399331	1.029393	1.253880	1.253880
DEC_HP_ELEC	4.125485	4.091128	3.163502	1.066379	0.469950	0.469950	0.469950	0.469950	0.867569	2.201519	3.253287	4.702675
DEC_THERMAL_HP_GAS	2.162232	2.050881	1.164544	0.100375	0.000000	0.000000	0.000000	0.000000	0.000000	0.608794	1.378347	2.690174
DEC_BOILER_GAS	1.884063	1.868373	1.444736	0.487004	0.214621	0.214621	0.214621	0.214621	0.396209	1.005409	1.485740	2.147660
THERMAL_SOLAR	0.163088	0.244632	0.326176	0.326176	0.380539	0.407720	0.407720	0.407720	0.353358	0.271814	0.190269	0.135907
H2_FROM_GAS	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547

Resource [GW]
ELECTRICITY	1.983460	1.543945	0.777002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.565437
NG	9.857751	11.016796	9.044681	6.634009	4.208316	3.513616	3.513616	3.513616	4.586695	7.841641	8.890409	10.504063
WASTE	1.413242	0.000000	1.025740	1.413242	1.413242	1.413242	1.413242	1.413242	1.413242	1.413242	1.413242	1.413242

Mobility [Mpkm/h] or [Mtkm/h]
CAR_BEV	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
TRAIN_PUBLIC	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
