Technology	GWP_construction [ktCO2-eq/y]
PV	4485.226313
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	208.395000
GEOTHERMAL_ELEC	631.534667
IND_BOILER_GAS	0.268801
IND_BOILER_WOOD	2.645123
IND_BOILER_WASTE	4.066925
IND_HEATER_ELEC	0.394826
DHN_HP_ELEC	9.483665
DHN_GEOTHERMAL	54.214967
DEC_HP_ELEC	66.430411
DEC_THERMAL_HP_GAS	43.384424
THERMAL_SOLAR	110.600000
DEC_HEATER_ELEC	0.184949
H2_ELECTROLYSIS	0.010749
H2_FROM_GAS	0.000000
GASIFICATION_SNG	0.000000
P2G_INVESTMENT	0.023205

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	50.000000
WOOD	147.348000
WASTE	1671.300000
