Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
PV	2.693597	4.848474	6.464632	8.080790	7.719254	5.327886	5.413499	8.323272	7.003351	4.848474	2.693597	2.154877
WIND	2.368000	2.072000	2.072000	1.332000	0.000000	0.000000	0.000000	0.000000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.980000	1.716000	2.046000	2.904000	4.092000	5.082000	5.082000	4.686000	3.630000	2.442000	2.310000	2.244000
GEOTHERMAL_ELEC	0.760000	0.760000	0.760000	0.760000	0.000000	0.000000	0.000000	0.000000	0.760000	0.760000	0.760000	0.760000
IND_BOILER_GAS	0.000000	0.000000	0.000000	0.000000	0.371514	0.371514	0.371514	0.371514	0.371514	0.000000	0.000000	0.000000
IND_BOILER_WOOD	1.555955	1.555955	1.555955	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.555955	1.555955	1.555955
IND_BOILER_WASTE	2.392309	2.392309	1.123418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.891282	2.392309	2.392309
IND_HEATER_ELEC	0.000000	0.000000	1.268891	3.948264	3.576750	3.576750	3.576750	3.576750	3.576750	0.501027	0.000000	0.000000
DHN_HP_ELEC	0.943069	0.918468	1.356359	0.785226	0.348131	0.348131	0.348131	0.348131	0.642681	1.356359	0.318541	1.356359
DHN_GEOTHERMAL	2.010941	2.010941	0.908833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.220015	2.010941	2.010941
DEC_HP_ELEC	4.674613	4.313940	3.477872	0.683212	0.000000	0.000000	0.000000	0.000000	0.232116	2.667840	3.034323	5.793923
DEC_THERMAL_HP_GAS	1.269661	1.259087	0.973601	0.328189	0.144632	0.144632	0.144632	0.144632	0.267003	0.677540	1.001233	1.447297
THERMAL_SOLAR	0.600000	0.900000	1.200000	1.200000	0.829925	0.829925	0.829925	0.829925	1.300000	1.000000	0.700000	0.500000
DEC_HEATER_ELEC	1.033533	1.024926	0.792534	0.267154	0.117734	0.117734	0.117734	0.117734	0.217347	0.551534	0.815027	1.178133
H2_ELECTROLYSIS	0.483889	0.483889	0.483889	0.483889	0.414990	0.414990	0.414990	0.414990	0.483889	0.483889	0.483889	0.483889
H2_FROM_GAS	0.000000	0.000000	0.000000	0.000000	0.068898	0.068898	0.068898	0.068898	0.000000	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.850673	0.843588	0.652312	0.039417	0.000000	0.000000	0.000000	0.000000	0.000000	0.453952	0.670826	0.969689

Resource [GW]
ELECTRICITY	2.734119	0.781931	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.280051
WOOD	2.953316	2.943752	2.685529	0.053213	0.000000	0.000000	0.000000	0.000000	0.000000	2.417743	2.710523	3.113988
WASTE	2.918617	2.918617	1.370570	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.307364	2.918617	2.918617

Mobility [Mpkm/h] or [Mtkm/h]
CAR_BEV	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896
BUS_FC	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
TRAIN_PUBLIC	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
