Technology	Energy output [GWh/y]
CCGT	1349.364
PV	43388.419
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	18236.559
IND_BOILER_GAS	11698.615
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	13755.390
DHN_HP_ELEC	5976.676
DHN_GEOTHERMAL	5976.676
DEC_HP_ELEC	18431.066
DEC_THERMAL_HP_GAS	7372.426
DEC_BOILER_GAS	8266.889
THERMAL_SOLAR	2791.751
H2_ELECTROLYSIS	2294.549
H2_FROM_GAS	1944.317

Resource	Energy consumption [GWh/y]
ELECTRICITY	5000.000
NG	31209.502
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_BEV	103770.053
BUS_FC	7782.754
TRAIN_PUBLIC	18159.759
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
